gene_symbol	Ensembl_ID	length	R20240001_01_EKRN240009369-1A_22375FLT4_L6	R20240001_03_EKRN240009371-1A_22375FLT4_L6	R20240001_04_EKRN240009372-1A_22375FLT4_L6	R20240001_02_EKRN240009370-1A_22375FLT4_L6
	ENSG00000223944	3153	0	0	0	0
HMGN2P17	ENSG00000238249	743	0	0	0	0
HS6ST1P1	ENSG00000187952	1234	2	0	3	5
	ENSG00000237938	1533	3	0	6	2
ZMYM4-AS1	ENSG00000227409	459	1	5	1	3
TMEM51-AS2	ENSG00000204464	559	0	0	0	0
	ENSG00000233372	551	0	0	0	0
TMEM82	ENSG00000162460	1443	0	0	1	0
	ENSG00000283259	1565	0	0	0	0
KIAA0319L	ENSG00000142687	9619	1817	851	1987	2294
LINC01226	ENSG00000284543	9848	0	0	0	1
	ENSG00000226166	112	0	0	0	0
UBE4B	ENSG00000130939	9237	2106	2294	2170	2452
PPP1R11P1	ENSG00000236216	376	0	0	0	0
TMEM51-AS1	ENSG00000175147	11973	25	0	20	27
	ENSG00000236266	830	7	0	3	0
PLA2G5	ENSG00000127472	3342	0	0	0	0
PRAMEF30P	ENSG00000231103	1417	0	0	0	0
PTPRU	ENSG00000060656	6682	2427	464	2502	3191
ZMYM6	ENSG00000163867	9568	401	1031	336	398
	ENSG00000232768	163	0	0	0	0
FTLP18	ENSG00000230214	523	0	0	0	0
GJB5	ENSG00000189280	1355	0	0	0	0
AGO4	ENSG00000134698	7423	1249	1453	1347	1370
CDCA8	ENSG00000134690	2406	3676	1743	3131	3782
	ENSG00000272420	568	9	50	6	14
GAPDHP20	ENSG00000224333	1007	0	0	0	0
CPLANE2	ENSG00000132881	1574	28	0	40	57
ZBTB8B	ENSG00000273274	12831	34	34	29	28
RPL12P14	ENSG00000224321	490	1	0	1	0
RPL22	ENSG00000116251	4665	1831	2366	1890	2074
	ENSG00000272510	346	0	0	0	0
RNF207	ENSG00000158286	6595	418	171	355	499
LINC02810	ENSG00000236648	1328	0	0	0	0
FTH1P1	ENSG00000232273	532	2	5	2	2
PAX7	ENSG00000009709	6473	0	0	0	0
TRIT1	ENSG00000043514	6533	859	957	798	961
CROCCP5	ENSG00000186543	830	0	0	0	0
	ENSG00000287396	663	0	0	0	0
MATN1	ENSG00000162510	4604	0	0	1	1
TAS1R2	ENSG00000179002	2542	0	0	0	0
	ENSG00000223589	340	0	0	0	0
AADACL3	ENSG00000188984	4055	0	0	0	0
LRRC37A12P	ENSG00000229259	1801	0	0	0	0
	ENSG00000270171	1721	0	0	0	0
EXTL1	ENSG00000158008	4542	23	4	19	25
WBP1LP7	ENSG00000269732	363	0	0	0	0
CASZ1	ENSG00000130940	11336	256	112	235	283
AGMAT	ENSG00000116771	3095	0	0	2	1
	ENSG00000237301	2845	0	0	0	0
FAAP20	ENSG00000162585	10916	809	80	868	1201
DNALI1	ENSG00000163879	4456	21	9	15	25
	ENSG00000227527	661	12	0	5	4
PDE4DIPP10	ENSG00000228823	649	0	0	0	0
SCMH1	ENSG00000010803	4447	2251	957	1911	2532
IFFO2	ENSG00000169991	6179	233	75	182	282
RRAGC	ENSG00000116954	5116	495	425	372	474
SPCS2P4	ENSG00000228589	681	58	109	56	75
GRIK3	ENSG00000163873	10497	2679	1203	2443	2913
LINC02596	ENSG00000233431	821	0	0	0	0
PLA2G2D	ENSG00000117215	2681	0	0	0	0
YRDC	ENSG00000196449	1848	941	902	859	952
	ENSG00000250575	1239	1	0	0	0
PRAMEF33	ENSG00000237700	1518	0	0	0	0
FBXO2	ENSG00000116661	3163	19	0	30	24
	ENSG00000230163	720	0	0	0	0
HNRNPFP1	ENSG00000227538	1133	0	0	0	0
	ENSG00000232208	352	0	0	0	0
SLC25A34	ENSG00000162461	3338	8	0	13	5
CD24P1	ENSG00000236500	225	0	0	0	0
GUCA2B	ENSG00000044012	604	0	0	0	0
RCC2	ENSG00000179051	4079	7504	2730	7163	8873
HSPA5P1	ENSG00000215895	1960	4	4	2	2
	ENSG00000231868	351	0	0	0	0
	ENSG00000284650	1039	0	0	1	2
	ENSG00000237329	507	0	0	0	0
	ENSG00000236948	1095	0	0	0	0
	ENSG00000270850	341	0	0	0	0
	ENSG00000287510	1077	0	0	0	0
PSMB2	ENSG00000126067	4528	7996	6428	6648	9133
	ENSG00000274944	3251	0	0	0	0
CASP9	ENSG00000132906	5269	63	12	79	90
DDI2	ENSG00000197312	12178	1135	924	921	1209
	ENSG00000284748	1326	0	0	0	0
	ENSG00000272078	7923	2	0	3	5
UQCRH	ENSG00000173660	1341	5639	5586	5593	6828
MIR3659HG	ENSG00000224592	684	23	0	10	16
	ENSG00000233728	700	0	0	0	0
RPS29P6	ENSG00000230451	145	0	0	0	0
	ENSG00000231606	1549	0	0	0	0
SELENOWP1	ENSG00000215900	252	0	0	0	0
AGO1	ENSG00000092847	13890	3594	2256	3464	4167
	ENSG00000284632	1240	0	0	0	0
PRAMEF7	ENSG00000204510	1660	0	0	0	0
GPR199P	ENSG00000241014	1887	1	14	7	2
THRAP3	ENSG00000054118	4720	7830	5304	7351	8726
	ENSG00000254553	3447	0	0	0	0
LINC01786	ENSG00000230415	513	5	0	13	11
RIMKLA	ENSG00000177181	10638	696	458	596	783
	ENSG00000284653	2013	0	0	0	0
	ENSG00000237749	253	1	3	0	5
LINC01398	ENSG00000224863	1764	0	0	0	0
PADI6	ENSG00000276747	2396	0	0	0	0
	ENSG00000284705	2694	1	0	2	0
	ENSG00000287828	728	0	0	0	0
	ENSG00000228776	454	0	0	0	0
	ENSG00000236009	761	0	0	0	0
MIR34AHG	ENSG00000228526	8702	4	5	6	4
PADI4	ENSG00000159339	2971	0	0	0	0
LINC02811	ENSG00000284678	673	0	0	0	0
	ENSG00000223814	407	0	0	0	0
C1ORF122	ENSG00000197982	2231	615	52	578	789
HSPE1P24	ENSG00000225158	238	0	0	0	0
LINC01654	ENSG00000261781	2471	0	0	0	0
EPHA10	ENSG00000183317	8152	118	26	120	151
PRAMEF31P	ENSG00000250894	1371	0	0	0	0
FHL3	ENSG00000183386	2004	234	14	257	320
	ENSG00000284743	674	0	0	0	0
RHBDL2	ENSG00000158315	2826	1	0	2	1
	ENSG00000229213	154	0	0	0	0
TMEM35B	ENSG00000243749	922	2	0	0	1
INPP5B	ENSG00000204084	8930	580	534	937	885
FAM183A	ENSG00000186973	843	0	0	0	0
	ENSG00000271806	4196	0	0	0	0
ZMYM4	ENSG00000146463	7905	4641	5643	4303	4840
	ENSG00000279214	950	1	0	0	0
UTP11	ENSG00000183520	3381	2130	3257	2032	2515
CFAP97P1	ENSG00000271164	483	0	0	0	0
USP48	ENSG00000090686	9497	1351	2107	1232	1571
	ENSG00000271741	3099	0	0	0	0
ACTN4P2	ENSG00000214141	1892	0	0	0	0
C1ORF216	ENSG00000142686	3049	1778	741	1538	1851
SHMT1P1	ENSG00000224751	1312	1	0	0	1
	ENSG00000279096	2669	0	0	0	0
ACTL8	ENSG00000117148	1844	11	8	7	7
PHBP12	ENSG00000230585	811	0	0	5	5
RLF	ENSG00000117000	6232	1826	3126	1584	1882
	ENSG00000284989	4037	0	0	0	0
CTNNBIP1	ENSG00000178585	3339	240	108	307	363
	ENSG00000231630	429	0	0	0	0
CLSPN	ENSG00000092853	9591	3154	3182	2721	3513
	ENSG00000255811	560	0	0	0	0
OXCT2	ENSG00000198754	1826	20	0	25	24
GNL2	ENSG00000134697	5747	4845	3902	4354	5311
GJA4	ENSG00000187513	1716	0	0	0	0
TUBAP8	ENSG00000238145	1192	0	0	0	0
	ENSG00000225142	436	0	0	0	0
LINC02812	ENSG00000230138	933	0	0	0	1
	ENSG00000223390	762	2	0	3	0
LINC02793	ENSG00000285823	1431	0	0	0	0
	ENSG00000284720	1521	0	0	0	0
	ENSG00000225028	1807	2	0	0	0
FCF1P6	ENSG00000225671	595	1	0	0	0
MORN1	ENSG00000116151	11337	122	31	122	160
TUBBP10	ENSG00000226147	1301	0	0	0	0
PRKCZ-AS1	ENSG00000182873	1734	37	0	28	49
	ENSG00000286518	2784	0	0	0	0
	ENSG00000178715	438	13	1	22	17
TTC22	ENSG00000006555	6111	0	0	0	0
	ENSG00000236111	681	0	0	1	0
TIE1	ENSG00000066056	6705	6	0	2	0
MYCBP	ENSG00000214114	2773	676	1096	530	659
MICOS10	ENSG00000173436	5480	182	547	160	184
DLGAP3	ENSG00000116544	4042	603	21	599	800
GOT2P1	ENSG00000231900	1309	0	0	0	0
	ENSG00000236723	1227	11	21	5	6
TMA16P2	ENSG00000232467	601	0	0	0	0
RIMS3	ENSG00000117016	7259	5346	1652	8898	7176
ECHDC2	ENSG00000121310	11572	3	0	6	5
RAB3B	ENSG00000169213	12780	1054	1203	1173	1373
SMIM12	ENSG00000163866	10337	1332	635	1108	1403
	ENSG00000225779	370	0	0	0	0
MYCL-AS1	ENSG00000236546	785	3	0	0	2
	ENSG00000284601	1733	0	0	0	0
TNFRSF9	ENSG00000049249	6354	0	0	5	0
MRPS6P2	ENSG00000237130	370	0	0	0	0
MYCL	ENSG00000116990	5063	535	247	818	862
TMEM61	ENSG00000143001	1256	0	0	0	0
RPL23AP19	ENSG00000229716	369	0	0	0	0
LINC02794	ENSG00000226133	1477	0	0	0	0
	ENSG00000227416	429	0	0	1	0
	ENSG00000232335	539	0	0	0	0
	ENSG00000260971	7878	3	0	3	4
CYP4A26P	ENSG00000259832	196	0	0	0	0
LINC02808	ENSG00000284696	3511	0	0	1	0
LINC02778	ENSG00000238242	1259	0	0	0	0
	ENSG00000285839	1986	0	0	0	0
LINC01343	ENSG00000237290	2573	0	0	0	3
	ENSG00000232762	752	7	0	4	4
ERI3	ENSG00000117419	2785	1919	258	1751	2122
CZIB	ENSG00000162384	4504	1704	1500	1653	2107
FAM151A	ENSG00000162391	2006	15	0	11	13
PODN	ENSG00000174348	4899	99	31	112	135
CYP4Z2P	ENSG00000154198	1598	0	0	0	0
OSBPL9	ENSG00000117859	10273	4058	5402	4009	4927
PHBP3	ENSG00000228121	819	1	0	1	2
C1ORF210	ENSG00000253313	1522	0	0	0	0
PARS2	ENSG00000162396	2356	266	16	319	364
ZYG11A	ENSG00000203995	4694	3	3	5	7
CALR4P	ENSG00000227742	2704	0	0	0	0
	ENSG00000284686	2655	6	14	6	3
ZYG11B	ENSG00000162378	8206	2379	3824	2408	2652
LINC01755	ENSG00000233079	3391	0	0	0	0
NFIA	ENSG00000162599	55886	1395	2069	1463	1692
CZIB-DT	ENSG00000259818	3591	3	0	3	6
ST3GAL3-AS1	ENSG00000229444	469	0	0	0	0
L1TD1	ENSG00000240563	3831	1	0	0	2
	ENSG00000234318	447	3	0	0	0
	ENSG00000284773	3163	5	7	8	5
	ENSG00000234481	778	0	0	0	0
TXNDC12	ENSG00000117862	2864	217	25	275	307
ALPL	ENSG00000162551	2980	369	70	353	529
	ENSG00000235612	731	0	0	0	0
TXNDC12-AS1	ENSG00000228369	391	3	0	2	0
SF3A3	ENSG00000183431	3894	6184	5252	5637	6882
	ENSG00000227485	359	0	0	0	0
FGGY-DT	ENSG00000224609	7581	15	30	33	31
	ENSG00000235545	1228	30	10	26	22
LAMTOR5P1	ENSG00000236646	270	0	0	0	0
PCSK9	ENSG00000169174	5711	0	0	0	1
MTCO2P34	ENSG00000232198	607	0	0	0	0
RPS29P7	ENSG00000231622	171	0	0	0	0
LINC01685	ENSG00000238063	3673	0	0	0	0
	ENSG00000235804	427	0	0	0	0
PIGQP1	ENSG00000227104	430	0	0	0	0
TTC4	ENSG00000243725	3488	66	36	73	84
BMP8B	ENSG00000116985	4826	168	137	186	177
KLF17	ENSG00000171872	3160	0	0	0	0
PLPP3	ENSG00000162407	5272	1235	1331	1222	1503
	ENSG00000285079	2316	1	0	0	2
RSPO1	ENSG00000169218	3058	0	0	0	0
SNIP1	ENSG00000163877	5718	759	408	704	916
RPS13P2	ENSG00000228929	455	39	587	81	129
	ENSG00000224570	1797	0	0	0	0
RPL23AP85	ENSG00000224980	433	0	0	0	0
SLC2A3P2	ENSG00000185031	1480	3	8	10	2
	ENSG00000278967	1819	1	0	1	1
CPT2	ENSG00000157184	10089	769	477	865	1065
	ENSG00000272491	1674	3	0	0	2
FOXJ3	ENSG00000198815	6896	4481	4960	4335	5145
TUT4	ENSG00000134744	16199	4418	7400	4346	5246
RAVER2	ENSG00000162437	6070	2037	2667	1860	2199
GTF2F2P2	ENSG00000233910	721	0	0	0	0
	ENSG00000287703	1426	0	0	0	0
KLF18	ENSG00000283039	3159	0	0	0	0
	ENSG00000229032	342	0	0	0	0
	ENSG00000229294	512	0	0	1	4
TACSTD2	ENSG00000184292	1820	0	0	0	0
FOXD3	ENSG00000187140	2562	5	0	16	5
	ENSG00000226754	1941	5	0	2	12
	ENSG00000232993	467	0	0	0	0
RPS15AP7	ENSG00000234088	405	2	0	0	0
GAPDHP51	ENSG00000236973	1000	0	0	0	0
LINC01738	ENSG00000227947	1461	0	0	0	0
	ENSG00000277397	718	0	0	0	0
PATJ-DT	ENSG00000271200	427	7	4	11	15
LINC02791	ENSG00000235446	1017	0	0	0	0
CYP4A43P	ENSG00000261196	121	0	0	0	0
