gene_symbol	Ensembl_ID	length	R20230019_08_EKRN230075585-1A_22HFFNLT3_L4	R20230019_13_EKRN230075590-1A_22HFFNLT3_L4	R20230019_01_EKRN230075578-1A_22HFFNLT3_L3	R20230019_09_EKRN230075586-1A_22HFFNLT3_L4	R20230019_02_EKRN230075579-1A_222JL7LT4_L2	R20230019_03_EKRN230075580-1A_22HFFNLT3_L3	R20230019_16_EKRN230075593-1A_222JL7LT4_L2	R20230019_04_EKRN230075581-1A_222T7MLT4_L1	R20230019_07_EKRN230075584-1A_22HFFNLT3_L4	R20230019_11_EKRN230075588-1A_22HFFNLT3_L4	R20230019_10_EKRN230075587-1A_22HFFNLT3_L4	R20230019_05_EKRN230075582-1A_22HFFNLT3_L3	R20230019_14_EKRN230075591-1A_22HFFNLT3_L4	R20230019_15_EKRN230075592-1A_222JL7LT4_L2	R20230019_06_EKRN230075583-1A_22HFFNLT3_L4	R20230019_12_EKRN230075589-1A_22HFFNLT3_L4
TP73-AS3	ENSG00000227589	754	0	0	0	15	0	0	3	0	0	2	20	2	4	0	0	3
CAMTA1-IT1	ENSG00000237402	365	7	0	1	0	1	0	7	2	1	0	0	0	7	0	0	0
	ENSG00000284616	1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
PUSL1	ENSG00000169972	2459	1094	512	573	790	673	464	1013	392	730	768	734	412	987	1039	468	745
PEX10	ENSG00000157911	3782	926	633	612	579	540	459	952	344	643	642	669	478	921	996	716	651
	ENSG00000269896	2407	2	228	2	0	0	3	0	0	95	0	0	122	4	2	404	0
MTCO1P12	ENSG00000237973	1543	2230	2192	1406	1114	733	527	737	799	2408	1222	2355	1794	1418	1577	3724	1492
CPTP	ENSG00000224051	2555	872	1688	829	1662	650	547	817	264	1710	1490	1445	1351	809	779	2170	1717
	ENSG00000228463	8224	68	62	9	47	16	12	39	5	57	30	16	27	74	37	92	17
	ENSG00000260972	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	ENSG00000157933	6550	2009	1757	1448	1729	1369	918	1787	599	1920	1455	1692	1458	1893	1902	2256	1722
MEGF6	ENSG00000162591	9021	0	102	150	4	547	68	0	67	39	0	1	50	7	0	156	0
	ENSG00000224340	337	8	3	3	1	0	0	6	0	4	0	0	2	0	0	0	0
	ENSG00000270035	570	0	0	3	0	0	1	0	3	0	0	0	0	0	6	0	0
TAS1R3	ENSG00000169962	3475	37	67	117	7	50	53	20	38	57	15	15	64	18	22	224	19
	ENSG00000226545	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	ENSG00000233653	2477	0	1	1	0	0	1	0	0	1	0	0	0	2	0	4	0
WBP1LP6	ENSG00000268663	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	ENSG00000226374	2168	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ERRFI1	ENSG00000116285	4179	0	235	74	37	81	55	0	29	131	9	16	170	3	0	216	18
EEF1DP6	ENSG00000229280	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEX14	ENSG00000142655	2932	1164	766	1109	998	1004	846	1054	583	863	896	905	597	1071	1107	1240	907
LINC01646	ENSG00000232596	3328	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0
LINC01777	ENSG00000235054	2574	0	0	0	0	2	0	0	0	0	0	0	0	3	8	0	0
	ENSG00000232663	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000284646	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTATP8P1	ENSG00000240409	207	0	2	0	1	0	2	0	0	4	0	6	3	1	3	2	0
MTCO2P12	ENSG00000229344	682	17	16	5	7	10	4	3	0	16	5	8	16	17	15	10	1
LINC02782	ENSG00000231510	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PLCH2	ENSG00000149527	10809	28	24	3	5	1	0	7	1	10	28	16	22	26	7	16	6
	ENSG00000284739	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPSB1	ENSG00000171621	3389	172	405	246	327	335	182	207	116	275	226	287	293	179	179	632	302
	ENSG00000272235	3461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP24	ENSG00000236679	385	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
	ENSG00000284694	3402	0	3	0	0	2	1	0	3	3	0	0	0	0	0	1	0
LZIC	ENSG00000162441	5459	1269	1840	1669	2022	1578	1228	1618	621	1349	1401	1626	1594	1311	1504	2161	1447
	ENSG00000230021	5495	22	23	82	1	35	36	16	27	21	4	26	22	13	15	28	10
MZT1P1	ENSG00000271264	246	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ENSG00000287356	5794	0	5	5	0	0	0	0	1	4	0	0	7	1	0	23	0
	ENSG00000224387	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000285629	663	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HES3	ENSG00000173673	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	ENSG00000227372	9701	182	0	0	168	0	0	119	0	1	169	181	0	91	136	3	91
SLC2A5	ENSG00000142583	6632	2	1688	0	20	1	1	11	0	1339	52	24	1176	13	2	2445	26
NDUFB4P8	ENSG00000223663	367	2	4	0	5	0	0	1	0	2	1	1	7	0	0	8	2
LINC02781	ENSG00000284674	1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000272161	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
	ENSG00000237094	6204	0	9	58	4	64	39	2	25	5	13	3	1	4	15	13	12
MTCYBP45	ENSG00000224338	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENO1	ENSG00000074800	5216	74654	64717	43055	54012	48651	28592	84410	26252	69300	36195	41497	54801	75884	83033	68586	44514
PLEKHM2	ENSG00000116786	4134	3950	3503	2774	4220	2540	1997	3599	1252	2800	3723	3754	2812	4056	3542	4361	3908
	ENSG00000287727	2876	0	16	3	9	2	0	0	4	7	5	9	11	17	0	38	0
B3GALT6	ENSG00000176022	2805	1601	711	1381	799	1080	843	1390	756	588	881	745	506	1460	1217	824	895
	ENSG00000223989	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000228423	353	0	0	0	0	0	0	0	4	0	2	0	0	0	2	0	0
	ENSG00000286448	736	1	0	2	0	0	2	0	0	2	0	0	2	0	0	8	0
DHRS3	ENSG00000162496	3515	68	805	0	8	0	0	93	0	667	2	2	584	100	87	795	1
	ENSG00000237365	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA6	ENSG00000131686	2662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000229305	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000284703	4817	0	0	59	3	34	26	0	39	0	0	0	0	0	0	0	0
RPL22P3	ENSG00000226457	381	1	4	0	4	8	2	0	0	11	13	3	6	1	1	2	0
LRRC38	ENSG00000162494	2168	87	0	0	0	0	0	59	0	0	0	3	0	75	46	4	3
NMNAT1	ENSG00000173614	4610	388	473	283	539	246	217	468	108	232	524	499	278	326	420	477	547
MTATP6P1	ENSG00000248527	681	8818	16227	8646	5515	3507	3609	1966	2870	16733	6594	13061	14196	4369	4401	20529	8746
CAMTA1-AS2	ENSG00000237728	744	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
MFFP1	ENSG00000215720	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	ENSG00000279804	2067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
	ENSG00000241326	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000285701	762	3	1	0	1	0	1	0	2	1	2	0	1	0	0	0	0
PGAM1P11	ENSG00000233623	680	3	0	9	3	2	0	8	1	2	3	4	3	8	13	5	0
CCDC27	ENSG00000162592	4238	0	2	0	0	0	0	0	0	2	0	0	1	1	0	2	0
CHD5	ENSG00000116254	10094	67	30	19	0	21	8	18	17	25	8	2	15	38	28	58	0
VAMP3	ENSG00000049245	2733	1575	1518	2100	1438	2034	1497	1609	787	1226	1079	1157	1179	1278	1374	1604	925
FLJ37453	ENSG00000179743	2473	341	244	122	100	137	117	279	113	191	75	47	168	238	210	252	83
	ENSG00000233645	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF29P	ENSG00000234064	1139	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0
DISP3	ENSG00000204624	6120	12	110	60	40	95	26	19	9	174	22	18	87	15	17	66	22
	ENSG00000284708	2094	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CLSTN1	ENSG00000171603	5241	6320	4442	6591	9520	7169	4730	6375	2467	4993	7474	8135	3473	5563	5952	5239	7462
	ENSG00000280113	1983	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
MMEL1	ENSG00000142606	3870	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	0
	ENSG00000235146	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1D	ENSG00000162572	4025	163	311	23	48	4	9	74	1	137	50	54	178	98	67	399	29
	ENSG00000225931	1297	4	3	2	0	0	0	6	1	0	0	6	3	0	0	13	0
	ENSG00000236601	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM51	ENSG00000171729	2238	123	806	0	371	0	0	53	0	688	376	315	635	108	125	1086	298
	ENSG00000228150	440	20	38	5	9	9	4	17	5	26	19	17	23	25	10	34	24
C1ORF127	ENSG00000175262	3573	3	1	3	1	0	1	0	2	3	6	8	5	1	0	5	2
WASH9P	ENSG00000279457	1397	365	331	311	500	380	189	185	121	279	340	424	240	275	220	491	438
TTLL10	ENSG00000162571	3998	8	6	0	0	0	0	10	0	12	0	0	8	21	3	33	0
	ENSG00000231181	559	11	4	5	7	6	2	1	5	12	3	4	0	10	3	8	3
RPL39P6	ENSG00000238173	150	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	ENSG00000158109	2401	2331	1618	1045	1923	869	776	2621	546	1058	1657	1852	926	2535	2299	2275	1788
	ENSG00000229393	514	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	0
	ENSG00000269978	267	0	0	15	0	12	5	0	6	0	0	0	0	0	0	0	0
FBXO42	ENSG00000037637	9009	1360	1581	1025	1847	1320	844	1392	452	1212	1502	1705	1270	1430	1465	1953	1410
C1QTNF12	ENSG00000184163	1794	222	68	90	5	47	30	42	34	90	4	8	35	80	61	178	6
	ENSG00000287586	3225	6	0	17	0	30	12	0	29	0	0	0	0	5	6	0	0
ALDH4A1	ENSG00000159423	3632	207	764	727	609	1014	472	333	311	541	492	528	549	214	227	817	626
RERE	ENSG00000142599	14112	6385	3658	2873	3312	2955	1870	6085	1125	4105	2801	3150	2953	6398	6160	4079	2878
	ENSG00000227169	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000283356	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN6	ENSG00000011021	8173	2071	1254	869	1389	699	468	1538	346	1465	1021	1358	1087	1931	1702	1687	1041
	ENSG00000272482	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
	ENSG00000284747	4116	19	38	6	11	1	5	11	2	14	0	10	13	14	9	31	2
TTC34	ENSG00000215912	8814	45	20	19	27	24	18	14	8	21	22	19	15	45	27	40	23
PRAMEF2	ENSG00000120952	1642	0	8	0	0	0	0	0	0	42	0	0	18	0	0	15	0
PRAMEF4	ENSG00000243073	1840	0	5	0	0	0	0	0	0	17	0	0	2	0	0	9	0
CELA2A	ENSG00000142615	1519	0	2	0	1	0	0	0	0	0	0	2	0	0	1	3	1
CELA2B	ENSG00000215704	1449	2	11	7	6	0	2	4	1	4	4	0	8	0	4	24	2
SPEN	ENSG00000065526	14336	8164	7027	8818	11943	8147	5940	7732	3571	7780	8219	9722	5766	8676	7692	7840	8342
RER1	ENSG00000157916	5689	3765	4438	5323	4038	4544	3582	2783	2962	4009	3147	3777	3266	3332	2905	5684	3453
PANK4	ENSG00000157881	5072	1383	793	856	1118	771	576	1170	493	768	1017	1105	515	1374	1374	843	1129
WRAP73	ENSG00000116213	7634	2105	1102	767	1534	615	518	1465	395	1196	1363	1408	871	1893	1803	1465	1492
TMEM274P	ENSG00000283611	444	2	0	3	0	0	0	0	2	2	3	0	0	0	10	5	3
	ENSG00000238290	2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000225387	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13D	ENSG00000048707	20768	4340	2268	1824	2339	1689	1332	3801	872	1726	1649	1887	1511	4007	3849	2871	1685
HTR6	ENSG00000158748	3800	1	0	0	0	0	1	2	1	0	0	0	2	7	2	3	0
LINC01647	ENSG00000235643	1351	0	0	0	1	3	1	0	0	0	3	7	2	0	0	0	1
RPL10P17	ENSG00000225196	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF16	ENSG00000130762	5324	5	250	1	0	1	0	9	0	160	0	0	141	0	0	328	3
RBP7	ENSG00000162444	862	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	ENSG00000279169	2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000279625	1853	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GPR157	ENSG00000180758	5304	1453	433	346	27	306	315	1481	196	342	26	28	342	1520	1270	488	19
PRAMEF32P	ENSG00000231219	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB40	ENSG00000184677	9169	1825	2922	1619	2904	1544	1017	1620	534	3216	1849	2348	2284	1707	1656	3658	1958
ENO1-AS1	ENSG00000230679	456	38	27	5	7	23	4	23	9	15	4	13	19	15	25	45	1
MICOS10-NBL1	ENSG00000270136	1276	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBXO44	ENSG00000132879	3527	490	114	13	880	16	8	489	4	91	711	754	89	420	447	217	783
PRAMEF10	ENSG00000187545	1525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000288398	2662	321	415	276	216	167	149	356	95	405	162	243	390	274	282	411	234
	ENSG00000224621	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	ENSG00000239810	1845	0	7	0	0	0	0	0	0	14	0	0	4	3	0	1	0
	ENSG00000285833	1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	ENSG00000116721	2439	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0
CFL1P6	ENSG00000215785	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NPHP4	ENSG00000131697	13167	1011	930	1748	1224	1794	1136	901	759	1113	986	1096	842	952	878	1352	981
	ENSG00000284692	2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000284745	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000225952	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000280222	6473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM201	ENSG00000188807	6981	1401	1321	1257	3125	1486	916	1319	487	1692	2161	2463	991	1260	1243	1328	2529
LINC01714	ENSG00000227634	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTOR	ENSG00000198793	12163	4598	4453	4966	6352	5188	3292	5352	1973	4411	4523	5545	3381	4995	4936	4866	4581
TP73	ENSG00000078900	6767	438	7	1	951	0	0	436	0	11	806	934	13	395	357	8	936
	ENSG00000285945	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPTL7	ENSG00000171819	2224	0	2	6	6	0	0	3	9	0	7	3	0	0	0	0	7
RUNX3-AS1	ENSG00000229162	820	0	4	0	1	3	3	0	10	2	0	0	2	1	0	6	0
HES5	ENSG00000197921	1324	2	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0
	ENSG00000233755	863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PARK7	ENSG00000116288	2397	7776	7214	3891	6853	4346	2542	7971	3095	7164	4895	6083	5823	6579	7687	8274	5560
TNFRSF14-AS1	ENSG00000238164	6137	52	442	26	322	23	18	26	6	205	310	298	287	63	76	1225	368
MT1XP1	ENSG00000233929	186	2	5	0	5	1	1	0	3	6	0	0	1	0	0	7	9
	ENSG00000271742	256	1	3	0	1	0	0	0	3	0	0	2	1	2	0	4	8
	ENSG00000226396	455	67	50	13	14	15	7	41	5	86	33	31	41	47	63	109	32
PRAMEF6	ENSG00000232423	1784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000229247	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIC4	ENSG00000169504	4467	11582	20822	21619	15643	25133	16850	14712	6603	11335	12310	14507	15647	11781	11348	17566	10075
	ENSG00000224311	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM1P39	ENSG00000225159	867	39	11	20	41	22	15	26	4	21	16	27	16	33	33	10	24
	ENSG00000272088	382	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC01784	ENSG00000228338	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR3	ENSG00000181773	2137	76	244	50	62	40	21	73	25	249	71	52	200	59	71	291	105
ACTG1P20	ENSG00000241547	468	51	8	69	26	44	28	25	22	31	33	40	19	30	43	33	42
DPPA2P2	ENSG00000224129	897	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ARHGEF19-AS1	ENSG00000234166	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	ENSG00000237436	415	35	29	24	12	16	6	13	5	27	13	7	22	22	27	39	9
UQCRHL	ENSG00000233954	2180	128	212	282	160	260	176	142	230	145	144	142	152	66	116	205	163
CD164L2	ENSG00000174950	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNLL1P3	ENSG00000235282	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SZRD1	ENSG00000055070	4742	5326	4866	3515	5485	3720	2366	5748	1821	4169	3848	4136	3450	5426	5476	6763	4519
PDIK1L	ENSG00000175087	4560	1435	2063	2266	1378	2771	1710	1717	821	1529	1061	1173	1659	1252	1397	1688	884
CAMTA1	ENSG00000171735	9903	1250	931	1321	947	1428	840	1233	1041	823	812	927	699	1060	1263	938	880
NECAP2	ENSG00000157191	5510	4550	2724	1816	2818	2105	1262	4265	1005	1883	2296	2589	1925	4350	4026	4050	2458
	ENSG00000284699	886	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0
	ENSG00000229985	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF21-AS1	ENSG00000230035	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000235185	207	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	3
ZNF593OS	ENSG00000236782	2073	33	7	4	0	1	4	19	3	4	11	1	1	15	12	1	9
FBXO6	ENSG00000116663	1735	165	14	11	447	18	8	192	7	17	332	477	5	193	221	23	462
	ENSG00000225643	483	19	8	128	32	64	63	10	46	23	35	21	29	15	14	38	19
	ENSG00000284666	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000243659	282	2	5	10	5	0	5	0	1	2	0	5	6	2	0	40	0
	ENSG00000228943	235	0	5	0	0	0	0	0	0	4	0	0	15	0	0	7	0
	ENSG00000232848	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP34	ENSG00000234397	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000284309	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000269925	393	56	48	14	15	21	10	32	9	36	10	28	4	29	35	34	6
LAPTM5	ENSG00000162511	3228	14221	6274	5	37262	2	5	18361	0	6000	32277	34841	5190	16113	14803	6693	31897
SLC30A2	ENSG00000158014	3483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHACTR4	ENSG00000204138	7317	2235	2991	3363	2452	3302	2275	2547	1153	2186	1839	2082	2398	2291	2283	4070	1742
IFITM3P7	ENSG00000233419	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000235263	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000228176	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000231251	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR1	ENSG00000142675	3960	68	30	7	941	9	6	24	9	12	689	796	12	72	29	13	871
FAM110D	ENSG00000197245	2799	0	1	0	0	0	0	0	0	4	0	4	1	0	1	6	0
	ENSG00000231949	481	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000261025	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICMT	ENSG00000116237	4910	3430	4206	3418	6123	3967	2721	4526	1297	3180	4476	4784	3272	4356	4364	3950	4786
WASF2	ENSG00000158195	5681	9039	8412	7518	7426	7290	5534	10993	2880	6470	5640	6656	6707	9801	9258	9136	5908
MED18	ENSG00000130772	2017	615	1151	797	837	745	588	685	523	774	698	747	761	667	593	1536	624
	ENSG00000215899	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000237429	283	0	18	0	0	0	0	0	3	12	0	1	23	0	0	15	0
	ENSG00000271398	425	4	7	6	0	0	4	0	5	15	3	7	6	1	3	16	0
	ENSG00000225011	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000240731	386	185	262	97	141	88	92	107	75	231	86	91	182	137	118	386	120
	ENSG00000235069	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000284676	1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1-AS1	ENSG00000237058	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01648	ENSG00000233399	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A1	ENSG00000090020	6195	608	586	699	1843	701	521	621	283	636	1366	1445	406	723	640	988	1431
SNRPEP7	ENSG00000225990	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDLRAP1	ENSG00000157978	5371	3278	3763	8405	9457	8550	5603	2842	3448	3941	7946	8774	3403	3079	2822	3380	8401
RNF207-AS1	ENSG00000226944	378	43	124	0	0	0	0	10	0	134	8	14	123	11	13	103	5
	ENSG00000270282	369	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ATP5IF1	ENSG00000130770	2225	4059	5514	4212	3147	3212	2423	2491	3657	4420	3735	3768	3878	2903	2901	6296	3899
TP73-AS2	ENSG00000235131	351	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
	ENSG00000229044	439	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
SDC3	ENSG00000162512	7065	94	1664	865	24	1154	603	67	388	900	13	29	1272	101	103	1953	18
PIK3CD-AS1	ENSG00000179840	1823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000272449	1531	110	20	38	20	21	15	51	36	35	25	17	8	83	54	54	24
CHCHD3P3	ENSG00000214973	640	0	0	1	13	5	1	0	3	1	0	4	0	0	0	1	3
PAFAH2	ENSG00000158006	3795	692	757	897	634	889	540	746	340	584	527	547	574	726	687	830	482
	ENSG00000214812	557	1	4	0	0	0	0	0	0	2	0	0	2	0	0	1	0
WDTC1	ENSG00000142784	5911	6444	4109	3101	3472	2999	2316	6575	1203	2995	3145	3520	3250	6581	5550	4790	3258
	ENSG00000227950	286	0	0	0	3	0	0	0	0	0	0	0	0	1	3	1	0
DNAJC8	ENSG00000126698	2892	4495	3008	3538	5744	4359	2680	5058	1996	3485	4505	4836	2760	4612	4542	3751	4329
	ENSG00000229447	437	23	1	25	22	20	7	18	4	14	26	10	5	33	1	19	16
	ENSG00000229607	444	0	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0
RPL5P4	ENSG00000229994	886	60	46	51	37	39	22	79	15	22	15	32	13	82	67	33	25
SESN2	ENSG00000130766	3462	5874	13051	16864	1768	16201	12157	6399	6883	9215	4206	3562	11485	6205	5166	10355	1428
SERINC2	ENSG00000168528	3452	91	1510	163	247	149	128	85	67	1052	268	220	1077	127	104	2119	169
AJAP1	ENSG00000196581	12528	738	5	2882	0	3226	1830	714	1248	12	0	2	6	896	624	14	0
PTAFR	ENSG00000169403	4208	6	0	7	14	17	3	9	2	10	12	3	5	7	13	30	9
RPS6KA1	ENSG00000117676	5884	2320	1954	121	3961	234	105	2299	73	2463	3210	3581	1579	2260	2083	2327	3664
CAMTA1-AS1	ENSG00000225126	361	28	0	1	0	0	0	25	0	0	0	0	0	46	16	0	6
NKAIN1	ENSG00000084628	3320	42	7	1	0	0	0	52	0	1	5	0	6	30	41	13	0
SNRNP40	ENSG00000060688	3887	1748	1902	1493	2137	1779	1081	1782	821	1596	1568	1587	1375	1576	1781	1965	1681
