gene_symbol	Ensembl_ID	length	R20240016_C2_EKRN240009374-1A_223MF3LT4_L7	R20240016_C1_EKRN240009373-1A_22375FLT4_L6	R20240016_J2_EKRN240009376-1A_22375FLT4_L6	R240016_J4_1_EKRN240015053-1A_223L3FLT4_L7	R240016_C4_1_EKRN240015051-1A_223L3FLT4_L2	R240016_J3_1_EKRN240015052-1A_223L3FLT4_L6	R20240016_J1_EKRN240009375-1A_22375FLT4_L6	R240016_C3_1_EKRN240015050-1A_223L3FLT4_L4
TPRG1L	ENSG00000158109	2401	1066	1184	1457	773	1021	1516	1350	1423
	ENSG00000229393	514	5	1	9	6	4	7	5	3
	ENSG00000269978	267	13	17	38	35	28	47	17	36
FBXO42	ENSG00000037637	9009	899	867	1424	755	854	1472	1116	1230
C1QTNF12	ENSG00000184163	1794	20	16	57	18	28	61	49	20
	ENSG00000287586	3225	0	0	0	0	0	0	0	0
ALDH4A1	ENSG00000159423	3632	424	497	953	462	439	922	905	679
RERE	ENSG00000142599	14112	4137	3270	6463	3564	3636	6295	6238	5578
	ENSG00000227169	356	0	0	0	0	0	0	0	0
	ENSG00000283356	135	0	0	0	0	0	0	0	0
CLCN6	ENSG00000011021	8173	1130	853	1795	1077	1154	1985	1632	1805
	ENSG00000272482	345	0	0	0	0	0	0	0	0
	ENSG00000284747	4116	36	14	36	22	31	73	34	46
TTC34	ENSG00000215912	8814	50	26	86	56	35	81	55	50
PRAMEF2	ENSG00000120952	1642	0	0	0	0	0	0	0	0
PRAMEF4	ENSG00000243073	1840	0	0	0	0	0	0	0	0
CELA2A	ENSG00000142615	1519	0	0	2	0	0	1	0	1
CELA2B	ENSG00000215704	1449	0	0	4	2	2	8	5	7
SPEN	ENSG00000065526	14336	5402	3636	7468	4271	4475	7819	7006	7479
RER1	ENSG00000157916	5689	2620	2928	3931	2181	2778	4100	3493	3684
PANK4	ENSG00000157881	5072	852	956	1470	762	946	1421	1186	1267
WRAP73	ENSG00000116213	7634	2032	2130	2565	1490	2202	2923	2199	3165
TMEM274P	ENSG00000283611	444	8	0	2	4	3	10	4	9
	ENSG00000238290	2044	0	5	1	0	3	1	0	2
	ENSG00000225387	491	0	0	0	0	0	0	0	0
VPS13D	ENSG00000048707	20768	1442	943	2074	1137	1098	2060	1922	1877
HTR6	ENSG00000158748	3800	104	115	96	42	114	87	73	150
LINC01647	ENSG00000235643	1351	0	0	0	0	0	1	0	0
RPL10P17	ENSG00000225196	316	0	0	0	0	0	0	0	0
ARHGEF16	ENSG00000130762	5324	79	91	22	12	122	15	26	145
RBP7	ENSG00000162444	862	4	0	0	0	6	0	0	8
PRAMEF13	ENSG00000279169	2442	0	0	0	0	0	0	0	0
	ENSG00000279625	1853	0	0	0	0	0	0	0	0
GPR157	ENSG00000180758	5304	294	294	218	148	233	251	222	354
PRAMEF32P	ENSG00000231219	1068	0	0	0	0	0	0	0	0
ZBTB40	ENSG00000184677	9169	2200	1667	3492	1834	2071	3607	3030	3151
ENO1-AS1	ENSG00000230679	456	3	6	10	7	2	17	7	2
MICOS10-NBL1	ENSG00000270136	1276	0	0	0	0	0	0	0	0
FBXO44	ENSG00000132879	3527	463	523	756	401	556	847	602	810
PRAMEF10	ENSG00000187545	1525	0	0	0	0	0	0	0	0
	ENSG00000288398	2662	177	178	355	183	207	355	301	274
	ENSG00000224621	544	2	0	0	0	2	0	0	1
PRAMEF11	ENSG00000239810	1845	0	0	0	0	0	0	0	0
	ENSG00000285833	1051	0	0	1	0	0	0	0	0
PRAMEF1	ENSG00000116721	2439	0	0	0	0	0	0	0	0
CFL1P6	ENSG00000215785	494	0	1	0	0	0	1	2	1
NPHP4	ENSG00000131697	13167	708	638	1752	933	672	1687	1626	1022
	ENSG00000284692	2316	0	0	0	0	0	0	0	0
	ENSG00000284745	1654	0	0	0	0	0	0	0	0
	ENSG00000225952	480	0	0	0	0	0	0	0	0
	ENSG00000280222	6473	0	0	0	0	0	0	0	0
TMEM201	ENSG00000188807	6981	1302	1383	2210	1066	1342	2159	2062	1975
LINC01714	ENSG00000227634	1001	0	0	0	1	0	0	0	0
MTOR	ENSG00000198793	12163	3777	3046	6624	3755	3373	6729	5902	5408
TP73	ENSG00000078900	6767	597	666	578	332	529	588	548	838
	ENSG00000285945	593	0	0	0	0	2	0	0	0
ANGPTL7	ENSG00000171819	2224	0	0	0	0	5	0	1	1
RUNX3-AS1	ENSG00000229162	820	0	0	0	0	0	0	0	0
HES5	ENSG00000197921	1324	0	0	2	0	1	0	1	0
	ENSG00000233755	863	0	0	0	0	0	0	0	0
PARK7	ENSG00000116288	2397	5316	6723	7395	4086	5383	6643	6052	6787
TNFRSF14-AS1	ENSG00000238164	6137	1	2	14	4	1	22	10	2
MT1XP1	ENSG00000233929	186	4	5	3	0	8	0	0	7
	ENSG00000271742	256	0	0	0	0	0	0	0	0
	ENSG00000226396	455	50	48	50	14	42	29	23	40
PRAMEF6	ENSG00000232423	1784	0	0	0	0	0	0	0	0
	ENSG00000229247	238	0	0	0	0	0	0	0	0
CLIC4	ENSG00000169504	4467	6537	6328	9291	6140	6237	10176	8722	8976
	ENSG00000224311	379	0	0	0	0	0	0	0	0
NPM1P39	ENSG00000225159	867	23	30	28	8	21	24	26	33
	ENSG00000272088	382	1	1	1	0	0	0	0	0
LINC01784	ENSG00000228338	378	0	0	0	0	0	0	0	0
GPR3	ENSG00000181773	2137	98	103	82	38	97	86	51	140
ACTG1P20	ENSG00000241547	468	36	25	38	18	39	44	27	49
DPPA2P2	ENSG00000224129	897	0	1	0	0	0	0	0	0
ARHGEF19-AS1	ENSG00000234166	439	0	0	0	0	0	0	0	0
CAMTA1-DT	ENSG00000237436	415	11	31	40	24	23	42	42	28
UQCRHL	ENSG00000233954	2180	285	240	302	145	247	260	321	252
CD164L2	ENSG00000174950	1994	0	0	0	0	0	0	0	0
DYNLL1P3	ENSG00000235282	266	0	0	0	0	0	0	0	0
SZRD1	ENSG00000055070	4742	3726	4494	6195	3280	3834	6124	5686	5265
PDIK1L	ENSG00000175087	4560	603	700	794	446	577	782	743	851
CAMTA1	ENSG00000171735	9903	1519	1804	1963	1139	1635	2017	1654	2030
NECAP2	ENSG00000157191	5510	1435	1877	2355	1407	1549	2356	2163	2103
	ENSG00000284699	886	0	0	1	0	0	0	0	0
	ENSG00000229985	527	0	0	0	0	0	0	0	0
IGSF21-AS1	ENSG00000230035	430	0	0	0	0	0	0	0	0
	ENSG00000235185	207	0	0	0	0	0	0	0	0
ZNF593OS	ENSG00000236782	2073	13	16	9	7	13	14	13	14
FBXO6	ENSG00000116663	1735	42	59	27	19	48	15	28	75
	ENSG00000225643	483	0	1	5	1	4	6	5	3
	ENSG00000284666	609	0	0	0	0	0	0	0	0
	ENSG00000243659	282	4	4	2	2	4	10	0	3
	ENSG00000228943	235	0	0	0	0	0	0	0	0
	ENSG00000232848	800	0	0	0	0	0	0	0	0
PPIAP34	ENSG00000234397	492	1	3	2	1	2	0	0	0
	ENSG00000284309	941	0	0	0	0	0	0	0	0
	ENSG00000269925	393	29	26	39	12	19	33	46	26
LAPTM5	ENSG00000162511	3228	0	0	0	0	0	0	0	0
SLC30A2	ENSG00000158014	3483	1	0	2	0	0	1	2	0
PHACTR4	ENSG00000204138	7317	3327	2982	3682	2211	3143	3950	3271	4475
IFITM3P7	ENSG00000233419	402	0	0	0	0	0	0	0	0
	ENSG00000235263	708	0	0	0	0	0	0	0	0
	ENSG00000228176	498	0	0	0	0	0	0	0	0
	ENSG00000231251	93	0	0	0	0	0	0	0	0
CNKSR1	ENSG00000142675	3960	50	35	26	21	44	41	41	60
FAM110D	ENSG00000197245	2799	16	18	8	1	24	1	5	38
	ENSG00000231949	481	0	0	0	0	0	0	0	0
	ENSG00000261025	2443	0	0	0	0	0	0	0	0
ICMT	ENSG00000116237	4910	3805	3659	5078	2957	3845	5076	4596	4938
WASF2	ENSG00000158195	5681	3596	3180	4782	2767	3321	4700	4281	4964
MED18	ENSG00000130772	2017	470	637	512	293	464	512	481	711
	ENSG00000215899	1342	0	0	0	0	0	0	0	0
	ENSG00000237429	283	0	0	0	0	0	0	0	0
	ENSG00000271398	425	2	0	2	1	0	1	1	2
	ENSG00000225011	349	0	0	0	0	0	0	0	0
	ENSG00000240731	386	177	123	230	153	172	316	205	197
	ENSG00000235069	235	0	0	0	0	0	0	0	0
	ENSG00000284676	1953	0	0	0	0	0	0	0	0
MMEL1-AS1	ENSG00000237058	373	0	0	0	0	0	0	0	0
LINC01648	ENSG00000233399	1519	0	0	0	0	0	0	0	0
SLC9A1	ENSG00000090020	6195	382	433	567	296	462	607	595	655
SNRPEP7	ENSG00000225990	220	0	0	0	0	0	0	0	0
LDLRAP1	ENSG00000157978	5371	354	436	544	306	377	552	559	536
RNF207-AS1	ENSG00000226944	378	49	39	21	12	56	30	19	49
	ENSG00000270282	369	0	0	0	0	0	0	1	0
ATP5IF1	ENSG00000130770	2225	1351	1860	1806	870	1621	1606	1639	1812
TP73-AS2	ENSG00000235131	351	1	0	3	0	5	0	0	2
	ENSG00000229044	439	2	0	0	2	0	1	1	2
SDC3	ENSG00000162512	7065	1516	1620	1730	870	1532	1682	1684	2131
PIK3CD-AS1	ENSG00000179840	1823	0	0	0	0	0	0	0	0
	ENSG00000272449	1531	7	21	27	12	11	33	31	15
CHCHD3P3	ENSG00000214973	640	7	5	8	12	16	10	6	14
PAFAH2	ENSG00000158006	3795	515	506	736	415	513	725	533	732
	ENSG00000214812	557	2	0	0	0	0	0	0	0
WDTC1	ENSG00000142784	5911	1697	1734	2544	1362	1722	2551	2278	2467
	ENSG00000227950	286	1	0	0	0	0	0	1	0
DNAJC8	ENSG00000126698	2892	3191	4176	4465	2753	3556	4511	3764	4476
	ENSG00000229447	437	12	9	19	17	14	14	9	17
	ENSG00000229607	444	0	0	0	0	0	0	0	0
RPL5P4	ENSG00000229994	886	38	50	31	37	37	79	66	34
SESN2	ENSG00000130766	3462	368	265	698	308	334	760	738	440
SERINC2	ENSG00000168528	3452	983	1105	1250	679	1057	1223	1126	1493
AJAP1	ENSG00000196581	12528	0	13	0	0	6	0	1	5
PTAFR	ENSG00000169403	4208	8	9	8	2	4	6	6	10
RPS6KA1	ENSG00000117676	5884	656	713	1615	820	546	1607	1399	894
CAMTA1-AS1	ENSG00000225126	361	0	0	0	0	0	0	0	0
NKAIN1	ENSG00000084628	3320	1625	1679	1209	576	1551	1247	1076	2352
SNRNP40	ENSG00000060688	3887	1583	1914	1852	1160	1734	1877	1698	2110
	ENSG00000236335	507	0	0	0	0	0	0	0	0
SLC25A33	ENSG00000171612	3865	793	980	981	579	824	1027	869	1086
	ENSG00000241169	428	0	0	0	0	0	0	0	0
NBPF2P	ENSG00000227001	661	47	46	68	59	49	93	63	91
	ENSG00000270927	493	0	0	0	0	0	0	0	0
FBLIM1	ENSG00000162458	4351	1129	1396	896	486	1360	793	766	1758
GJB3	ENSG00000188910	2362	2	0	4	6	2	3	2	2
LINC01756	ENSG00000230523	2148	1	2	0	1	0	0	1	1
MATN1-AS1	ENSG00000186056	4024	13	3	11	9	7	6	12	15
DNAJC16	ENSG00000116138	8563	674	588	1319	759	687	1359	966	1047
	ENSG00000231207	355	0	0	0	0	1	0	0	0
SYTL1	ENSG00000142765	5584	155	176	55	23	165	61	51	231
EYA3	ENSG00000158161	6424	1568	1306	1912	1263	1358	2283	1588	2116
	ENSG00000270330	355	0	0	0	0	0	0	0	0
ZNF593	ENSG00000142684	732	0	0	0	0	0	0	0	0
RPL7P11	ENSG00000234619	658	1	1	1	0	0	0	0	0
FABP3	ENSG00000121769	1398	32	24	25	17	35	39	29	44
C1ORF158	ENSG00000157330	4133	0	0	0	0	0	0	1	0
EPHA2	ENSG00000142627	4141	944	1105	796	443	921	851	792	1296
LINC02780	ENSG00000284668	1835	0	0	0	0	0	0	0	0
	ENSG00000233234	607	0	0	0	0	0	0	0	0
ARHGEF19	ENSG00000142632	3788	235	287	365	198	309	387	368	463
KAZN-AS1	ENSG00000234593	2858	0	0	0	0	0	0	0	0
DRAXIN	ENSG00000162490	7365	138	113	97	54	136	79	76	142
GPR153	ENSG00000158292	4198	530	563	1088	569	582	1201	1048	861
	ENSG00000270605	1945	127	137	180	132	141	353	218	244
UBE2V2P3	ENSG00000238199	437	4	2	6	4	2	11	11	8
MAP3K6	ENSG00000142733	5746	372	503	391	211	502	419	330	633
KAZN	ENSG00000189337	13860	467	421	310	141	447	355	264	672
PRAMEF5	ENSG00000270601	1720	0	0	0	0	0	0	0	0
	ENSG00000233268	421	0	0	0	0	0	0	0	0
RERE-AS1	ENSG00000232912	1178	2	0	4	0	1	7	3	2
CHCHD2P6	ENSG00000235084	447	23	23	19	15	26	33	21	39
	ENSG00000235143	1747	0	0	0	0	0	0	0	0
	ENSG00000225478	223	0	0	0	0	0	0	0	0
LINC00337	ENSG00000225077	2358	11	13	9	2	28	21	8	7
TNFRSF1B	ENSG00000028137	3778	4	10	0	4	5	0	1	13
	ENSG00000223944	3153	0	0	0	0	0	0	0	0
HMGN2P17	ENSG00000238249	743	0	0	0	1	0	2	0	2
HS6ST1P1	ENSG00000187952	1234	10	1	7	2	6	2	3	10
	ENSG00000237938	1533	31	11	27	28	15	47	37	37
ZMYM4-AS1	ENSG00000227409	459	0	0	0	1	2	1	0	3
TMEM51-AS2	ENSG00000204464	559	0	0	1	1	0	0	1	1
	ENSG00000233372	551	0	0	0	0	0	0	0	0
TMEM82	ENSG00000162460	1443	3	1	0	0	0	0	3	5
	ENSG00000283259	1565	0	0	1	0	0	2	0	0
KIAA0319L	ENSG00000142687	9619	2449	2202	5158	2947	2156	5331	4316	3365
LINC01226	ENSG00000284543	9848	1	0	0	0	0	0	0	0
	ENSG00000226166	112	0	0	0	0	0	0	0	0
UBE4B	ENSG00000130939	9237	3168	2972	4899	2777	3025	4913	4248	4552
PPP1R11P1	ENSG00000236216	376	0	0	0	0	0	0	0	0
TMEM51-AS1	ENSG00000175147	11973	171	147	208	107	180	201	178	273
	ENSG00000236266	830	6	4	9	4	3	10	4	6
PLA2G5	ENSG00000127472	3342	0	0	0	0	0	0	0	0
PRAMEF30P	ENSG00000231103	1417	0	0	0	0	0	0	0	0
PTPRU	ENSG00000060656	6682	2093	1849	1472	739	2018	1360	1216	3176
ZMYM6	ENSG00000163867	9568	315	335	488	372	397	592	387	548
	ENSG00000232768	163	0	0	0	0	0	1	0	1
FTLP18	ENSG00000230214	523	0	0	0	0	0	0	0	0
GJB5	ENSG00000189280	1355	2	3	3	5	2	3	9	1
AGO4	ENSG00000134698	7423	904	775	1161	693	860	1090	921	1177
CDCA8	ENSG00000134690	2406	1576	1698	1958	1276	1658	1861	1709	2074
	ENSG00000272420	568	7	18	21	19	19	34	24	31
GAPDHP20	ENSG00000224333	1007	1	0	1	0	1	1	0	0
CPLANE2	ENSG00000132881	1574	131	76	223	109	80	241	184	169
ZBTB8B	ENSG00000273274	12831	363	183	394	260	319	443	301	414
RPL12P14	ENSG00000224321	490	2	2	2	1	2	4	0	0
RPL22	ENSG00000116251	4665	2202	3173	3088	1906	2218	3596	2617	3708
	ENSG00000272510	346	1	0	0	0	1	0	0	0
RNF207	ENSG00000158286	6595	586	422	451	321	568	510	386	910
LINC02810	ENSG00000236648	1328	0	0	0	0	0	0	0	0
FTH1P1	ENSG00000232273	532	2	0	6	0	1	2	1	0
PAX7	ENSG00000009709	6473	0	0	0	0	2	0	0	0
TRIT1	ENSG00000043514	6533	864	967	1144	726	895	1331	978	1277
CROCCP5	ENSG00000186543	830	0	0	1	1	0	0	0	1
	ENSG00000287396	663	1	0	0	0	0	1	2	0
MATN1	ENSG00000162510	4604	5	6	10	4	2	6	8	9
TAS1R2	ENSG00000179002	2542	0	0	0	0	0	0	0	0
	ENSG00000223589	340	0	0	0	0	0	0	0	0
AADACL3	ENSG00000188984	4055	0	0	0	0	0	0	0	0
LRRC37A12P	ENSG00000229259	1801	0	0	0	2	0	1	1	0
	ENSG00000270171	1721	5	11	13	3	8	14	10	6
EXTL1	ENSG00000158008	4542	60	53	100	47	64	114	69	83
WBP1LP7	ENSG00000269732	363	0	0	0	0	0	0	0	0
CASZ1	ENSG00000130940	11336	279	295	314	182	244	297	267	371
AGMAT	ENSG00000116771	3095	120	97	43	35	100	46	29	131
	ENSG00000237301	2845	13	14	6	3	9	8	27	14
FAAP20	ENSG00000162585	10916	1406	1768	1776	1040	1475	1922	1763	2271
DNALI1	ENSG00000163879	4456	704	656	556	333	757	538	403	919
	ENSG00000227527	661	6	3	3	0	1	10	10	7
PDE4DIPP10	ENSG00000228823	649	0	0	0	0	0	0	0	0
SCMH1	ENSG00000010803	4447	1381	1140	1421	866	1387	1596	1326	2031
IFFO2	ENSG00000169991	6179	92	61	224	174	69	249	228	95
RRAGC	ENSG00000116954	5116	343	432	550	384	322	537	469	512
SPCS2P4	ENSG00000228589	681	55	20	32	20	28	30	16	50
GRIK3	ENSG00000163873	10497	1	2	0	3	3	0	0	2
LINC02596	ENSG00000233431	821	0	0	0	0	0	0	0	0
PLA2G2D	ENSG00000117215	2681	0	0	0	0	0	0	0	0
YRDC	ENSG00000196449	1848	1216	1415	1538	838	1101	1630	1378	1697
	ENSG00000250575	1239	1	0	9	1	9	1	5	8
PRAMEF33	ENSG00000237700	1518	0	0	0	0	0	0	0	0
FBXO2	ENSG00000116661	3163	68	95	97	36	124	67	70	127
	ENSG00000230163	720	0	0	0	0	0	0	0	0
HNRNPFP1	ENSG00000227538	1133	0	0	0	0	0	0	0	0
	ENSG00000232208	352	0	0	0	0	0	0	0	1
SLC25A34	ENSG00000162461	3338	101	82	157	90	106	161	132	127
CD24P1	ENSG00000236500	225	0	0	0	0	0	0	0	0
GUCA2B	ENSG00000044012	604	0	0	0	0	0	0	0	0
RCC2	ENSG00000179051	4079	9480	10018	13770	7969	10128	13787	12067	14257
HSPA5P1	ENSG00000215895	1960	0	2	2	0	1	2	1	4
	ENSG00000231868	351	0	0	0	2	0	0	0	0
	ENSG00000284650	1039	0	0	0	0	0	0	0	0
	ENSG00000237329	507	1	0	1	1	0	1	0	0
	ENSG00000236948	1095	0	0	0	0	0	0	0	0
	ENSG00000270850	341	0	0	0	0	0	0	0	0
	ENSG00000287510	1077	0	0	0	0	1	0	0	0
PSMB2	ENSG00000126067	4528	3345	3817	3599	2336	3489	3750	3355	4572
	ENSG00000274944	3251	1	0	2	1	0	3	0	0
CASP9	ENSG00000132906	5269	243	316	616	376	264	661	585	390
DDI2	ENSG00000197312	12178	1977	1300	2568	1612	1637	2836	2256	2583
	ENSG00000284748	1326	0	0	1	0	1	1	0	4
	ENSG00000272078	7923	11	8	9	9	6	12	5	12
UQCRH	ENSG00000173660	1341	6533	8884	8471	4283	7206	7942	7125	8253
MIR3659HG	ENSG00000224592	684	1	0	0	0	1	0	0	0
	ENSG00000233728	700	0	0	0	0	0	0	0	0
RPS29P6	ENSG00000230451	145	0	0	0	0	0	0	0	0
	ENSG00000231606	1549	0	0	0	0	0	0	0	0
SELENOWP1	ENSG00000215900	252	0	0	0	0	1	0	0	0
AGO1	ENSG00000092847	13890	2481	1876	3724	2186	2262	3767	3147	3492
	ENSG00000284632	1240	0	0	0	0	0	0	0	0
PRAMEF7	ENSG00000204510	1660	0	0	0	0	0	0	0	0
GPR199P	ENSG00000241014	1887	4	5	16	10	8	18	7	17
THRAP3	ENSG00000054118	4720	6768	5899	8488	5352	6120	8962	8059	8144
	ENSG00000254553	3447	0	0	0	0	0	0	1	0
LINC01786	ENSG00000230415	513	36	11	76	34	41	110	62	64
RIMKLA	ENSG00000177181	10638	493	438	788	404	390	745	642	639
	ENSG00000284653	2013	0	0	1	0	0	0	0	0
	ENSG00000237749	253	3	3	5	0	3	5	6	4
LINC01398	ENSG00000224863	1764	0	0	0	0	0	0	0	0
PADI6	ENSG00000276747	2396	0	0	0	0	0	0	0	0
	ENSG00000284705	2694	0	0	0	0	0	0	0	0
	ENSG00000287828	728	0	0	0	0	0	0	0	0
	ENSG00000228776	454	0	0	0	0	0	0	0	0
	ENSG00000236009	761	0	0	0	0	0	0	0	0
MIR34AHG	ENSG00000228526	8702	221	168	107	71	253	108	83	305
PADI4	ENSG00000159339	2971	0	0	1	0	0	0	0	0
